id,事務所id,名前,人数,性別,別名,active,activeend,師匠,旧コンビ名,ネタ製作者,出会い,由来,公式サイト,YouTube,tiktok
95,98,イタリアン・シガー・ブルドッグ,2,11,,2007/1/1 0:00,,,セェキットン、イタリアン,福原広喜,幼馴染,,,,
96,146,市原,2,11,,,2020/1/1 0:00,,,,,,,,
97,117,いち・もく・さん,2,11,,2001/1/1 0:00,,,,久保田,大学時代,,https://www.shochikugeino.co.jp/talents/itimokusan,,
98,999,一輪亭花蝶・松原勝美,2,11,,,1976/1/1 0:00,,,,,,,,
99,104,いつもここから,2,11,,1996/1/1 0:00,,,,,バンドのメンバー募集,,http://www.k5.dion.ne.jp/~project/itsukoko/itsukoko.html,,
100,125,イナズマライン,2,11,,2007/1/1 0:00,2012/1/1 0:00,,寒中水泳,,,,,,
101,108,いぬ ,2,11,,2010/1/1 0:00,,,,,宮崎県立宮崎北高等学校 ・ラグビー部,,https://profile.yoshimoto.co.jp/talent/detail?id=6034,,
102,147,イヌがニャーと泣いた日,2,11,,2000/8/1 0:00,2004/6/1 0:00,,羽畑（羽山、山畑）,,,,,,
103,104,イヌコネクション,2,11,,2007/1/1 0:00,,,犬,,アルバイト仲間,,https://www.watanabepro.co.jp/mypage/4000037/,,
104,108,犬の心,2,11,,1998/1/1 0:00,2020/1/1 0:00,,,,日本体育大学,,https://profile.yoshimoto.co.jp/talent/detail?id=415,,
105,146,井下好井,2,11,,2006/1/1 0:00,,,サーターアンダギーとちんすこう（井下） ミセスマルタン（好井）,好井まさお,吉本興業,,https://profile.yoshimoto.co.jp/talent/detail?id=2787,,
106,24,伊村製作所,2,11,,2015/2/19 0:00,2017/12/31 0:00,,,吉村卓也,,,,,
107,108,入間国際宣言,2,11,,2018/1/1 0:00,,,カラン（西田） 入間国際警察ダイナゴン（西田）,,川瀬名人（ゆにばーす）企画のライブ,,,,
108,125,イワイガワ,2,11,,2003/7/1 0:00,,タモリ（ジョニ男）,,井川修司,,,https://ameblo.jp/iwaigawa/,,
109,108,インディアンス ,2,11,,2009/1/1 0:00,,,,両者,NSC,,https://profile.yoshimoto.co.jp/talent/detail?id=5204,https://www.youtube.com/channel/UC5vL-KJjhiu241fobjYGRYA,
110,146,インディゴ ,2,11,,2016/1/1 0:00,2018/1/1 0:00,,バース（近藤） トンファー（りゅーじ）ブルースタンダード（近藤、りゅーじ）,,,,,,
111,125,インデペンデンスデイ ,2,11,,2006/1/1 0:00,,,,,名城大学の落語研究会,,,,
112,108,インパルス ,2,11,,1998/1/1 0:00,,,プラス2トン（堤下） ゼナイル（板倉）,板倉俊之,NSC,,https://profile.yoshimoto.co.jp/talent/detail?id=044,,
113,108,インポッシブル,2,11,,2005/4/1 0:00,,,,えいじ,NSC,,,,
114,125,ヴィレッジ ,2,11,,2000/4/1 0:00,,,,,,,,,
115,88,ういろうプリン,2,11,,2007/1/1 0:00,2021/1/29 0:00,,ブルーセレブ,,養成所の同級生,,http://www.p-jinriki.com/talent/uiroupurin/,,
116,128,ヴィンテージ ,2,11,,2000/1/1 0:00,2017/4/3 0:00,,,,,,http://www.ohtapro.co.jp/talent/vintage/,,
117,108,ウーマンラッシュアワー,2,11,,2008/9/1 0:00,,,"村本?: 横山おいもこいもストレートパーマ村本尾田村本亀井武蔵村本本田村本栗栖バブルスライム兄さんとだい村本宮田
中川?: ウェルダン瞬間時空、パラフィンキック",村本大輔,大阪NSC,,https://profile.yoshimoto.co.jp/talent/detail?id=2850,,
118,108,烏龍パーク,2,11,,1998/1/1 0:00,,,カレーコロッケ バーチャルトーイ 空き缶チック,,,,,,
